dataset,session_id,split,date,days_elapsed,r2,n_eval_bins
m1,ses-20120924,held-in-calib,2012-09-24,0,0.585080502847938,50709
m1,ses-20120926,held-in-calib,2012-09-26,2,0.5662365285222559,50386
m1,ses-20120927,held-in-calib,2012-09-27,3,0.5809905655383328,45468
m1,ses-20120928,held-in-calib,2012-09-28,4,0.5884820315752821,50663
m1,ses-20121004,held-out-calib,2012-10-04,10,-0.6046139950167881,1205
m1,ses-20121017,held-out-calib,2012-10-17,23,-0.9455251178270418,1195
m1,ses-20121024,held-out-calib,2012-10-24,30,-0.6086852625775776,1181
